2026-08-28 17:40:40,760 | INFO     | trajectoryrl.utils.github | Verifying submission: hash=62f2d0256a05…
2026-08-28 17:40:40,947 | INFO     | httpx | HTTP Request: GET https://storage.googleapis.com/vibe-dev/traj-prod/45/DMT0fUodcT-VyO--.json "HTTP/1.1 200 OK"
2026-08-28 17:40:40,952 | INFO     | trajectoryrl.utils.github | Verification passed for hash=62f2d0256a05…
2026-08-28 17:40:40,952 | INFO     | trajectoryrl.utils.sandbox_harness | eval starting: pack_hash=62f2d0256a05, seed=2379532473, scenarios=['attention-mil', 'audio-synth-stft-peaks', 'configure-git-webserver', 'crack-7z-hash', 'custom-memory-heap-crash', 'db-wal-recovery', 'deterministic-tarball', 'fix-code-vulnerability', 'git-leak-recovery', 'git-multibranch', 'large-scale-text-editing', 'largest-eigenval', 'llm-inference-batching-scheduler', 'nginx-request-logging', 'parallel-particle-simulator', 'path-tracing', 'postgres-csv-clean', 'puzzle-solver', 'query-optimize', 'race-condition-fix', 'regex-chess', 'regex-engine-from-scratch', 'swe-bench-astropy-2', 'torch-tensor-parallelism', 'tree-directory-parser', 'write-compressor']
2026-08-28 17:40:40,953 | INFO     | trajectoryrl.utils.sandbox_harness | Refreshing bench images before eval
2026-08-28 17:40:40,959 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling sandbox-agent image: ghcr.io/trajectoryrl/sandbox-agent:latest
2026-08-28 17:40:42,429 | INFO     | trajectoryrl.utils.sandbox_harness | Sandbox version: 4.0.23, harness: Hermes 0.20.5, scenarios: ['3d-model-format-legacy', 'attention-mil', 'audio-synth-stft-peaks', 'break-filter-js-from-html', 'cancel-async-tasks', 'configure-git-webserver', 'crack-7z-hash', 'custom-memory-heap-crash', 'db-wal-recovery', 'deterministic-tarball', 'fix-code-vulnerability', 'fix-git', 'git-leak-recovery', 'git-multibranch', 'kv-store-grpc', 'large-scale-text-editing', 'largest-eigenval', 'llm-inference-batching-scheduler', 'log-summary-date-ranges', 'nginx-request-logging', 'parallel-particle-simulator', 'path-tracing', 'pcap-to-netflow', 'postgres-csv-clean', 'puzzle-solver', 'query-optimize', 'race-condition-fix', 'regex-chess', 'regex-engine-from-scratch', 'schemelike-metacircular-eval', 'swe-bench-astropy-2', 'torch-tensor-parallelism', 'tree-directory-parser', 'vulnerable-secret', 'write-compressor']
2026-08-28 17:40:42,912 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-3d-model-format-legacy:latest
2026-08-28 17:40:43,959 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-attention-mil:latest
2026-08-28 17:40:45,012 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-audio-synth-stft-peaks:latest
2026-08-28 17:40:46,068 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-configure-git-webserver:latest
2026-08-28 17:40:47,131 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-crack-7z-hash:latest
2026-08-28 17:40:48,182 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-custom-memory-heap-crash:latest
2026-08-28 17:40:49,210 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-db-wal-recovery:latest
2026-08-28 17:40:50,261 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-deterministic-tarball:latest
2026-08-28 17:40:51,418 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-fix-code-vulnerability:latest
2026-08-28 17:40:52,460 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-git-leak-recovery:latest
2026-08-28 17:40:53,513 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-git-multibranch:latest
2026-08-28 17:40:54,531 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-large-scale-text-editing:latest
2026-08-28 17:40:55,552 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-largest-eigenval:latest
2026-08-28 17:40:56,620 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-llm-inference-batching-scheduler:latest
2026-08-28 17:40:57,678 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-nginx-request-logging:latest
2026-08-28 17:40:58,811 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-parallel-particle-simulator:latest
2026-08-28 17:40:59,815 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-path-tracing:latest
2026-08-28 17:41:00,856 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-pcap-to-netflow:latest
2026-08-28 17:41:01,889 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-postgres-csv-clean:latest
2026-08-28 17:41:02,974 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-puzzle-solver:latest
2026-08-28 17:41:04,005 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-query-optimize:latest
2026-08-28 17:41:05,054 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-race-condition-fix:latest
2026-08-28 17:41:06,084 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-regex-chess:latest
2026-08-28 17:41:07,122 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-regex-engine-from-scratch:latest
2026-08-28 17:41:08,164 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-schemelike-metacircular-eval:latest
2026-08-28 17:41:09,324 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-swe-bench-astropy-2:latest
2026-08-28 17:41:10,338 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-torch-tensor-parallelism:latest
2026-08-28 17:41:11,355 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-tree-directory-parser:latest
2026-08-28 17:41:12,351 | INFO     | trajectoryrl.utils.sandbox_harness | Pulling scenario image: ghcr.io/trajectoryrl/scenario-write-compressor:latest
2026-08-28 17:41:23,290 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] session start (scenarios=['attention-mil', 'audio-synth-stft-peaks', 'configure-git-webserver', 'crack-7z-hash', 'custom-memory-heap-crash', 'db-wal-recovery', 'deterministic-tarball', 'fix-code-vulnerability', 'git-leak-recovery', 'git-multibranch', 'large-scale-text-editing', 'largest-eigenval', 'llm-inference-batching-scheduler', 'nginx-request-logging', 'parallel-particle-simulator', 'path-tracing', 'postgres-csv-clean', 'puzzle-solver', 'query-optimize', 'race-condition-fix', 'regex-chess', 'regex-engine-from-scratch', 'swe-bench-astropy-2', 'torch-tensor-parallelism', 'tree-directory-parser', 'write-compressor'])
2026-08-28 17:41:23,290 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] dispatching 26 scenarios with parallelism=3
2026-08-28 17:41:23,291 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] attention-mil starting (image=ghcr.io/trajectoryrl/scenario-attention-mil:latest)
2026-08-28 17:41:23,661 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:41:23,662 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] audio-synth-stft-peaks starting (image=ghcr.io/trajectoryrl/scenario-audio-synth-stft-peaks:latest)
2026-08-28 17:41:24,037 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:41:24,039 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] configure-git-webserver starting (image=ghcr.io/trajectoryrl/scenario-configure-git-webserver:latest)
2026-08-28 17:41:24,237 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:41:24,550 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:41:25,009 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:44:53,086 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/validators/heartbeat "HTTP/1.1 200 OK"
2026-08-28 17:46:26,609 | WARNING  | trajectoryrl.base.validator | [winner=5EPWhPxV UID 124] set_weights attempt 1/3 FAILED — success=False, message=None, uids=[124]
2026-08-28 17:46:26,609 | INFO     | trajectoryrl.base.validator | [winner=5EPWhPxV UID 124] Retrying set_weights in 12s...
2026-08-28 17:46:49,076 | INFO     | trajectoryrl.base.validator | [winner=5EPWhPxV UID 124] set_weights OK — uids=[124], success=True, message=Success
2026-08-28 17:52:08,354 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] attention-mil hermes chat finished (exit=0, timed_out=False, 170846 chars)
2026-08-28 17:52:08,602 | INFO     | trajectoryrl.utils.sandbox_harness | Started verifier verifier_e223261e996c_ep0 (id=56de69353776)
2026-08-28 17:52:08,751 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:52:12,939 | INFO     | trajectoryrl.utils.sandbox_harness | Verifier verifier_e223261e996c_ep0: reward=1 (exit_code=0)
2026-08-28 17:52:12,950 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] attention-mil quality=1.000 (reward=1, 9/9 tests passed, cost=$0.0274)
2026-08-28 17:52:18,524 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:52:18,660 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:52:19,040 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:52:19,041 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] crack-7z-hash starting (image=ghcr.io/trajectoryrl/scenario-crack-7z-hash:latest)
2026-08-28 17:52:19,885 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:54:53,442 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/validators/heartbeat "HTTP/1.1 200 OK"
2026-08-28 17:55:53,517 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] crack-7z-hash hermes chat finished (exit=0, timed_out=False, 20422 chars)
2026-08-28 17:55:53,784 | INFO     | trajectoryrl.utils.sandbox_harness | Started verifier verifier_e223261e996c_ep3 (id=c3b42a3f2e3f)
2026-08-28 17:55:53,867 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:55:58,998 | INFO     | trajectoryrl.utils.sandbox_harness | Verifier verifier_e223261e996c_ep3: reward=1 (exit_code=0)
2026-08-28 17:55:59,037 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] crack-7z-hash quality=1.000 (reward=1, 2/2 tests passed, cost=$0.0078)
2026-08-28 17:56:04,608 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:56:04,761 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:56:05,138 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:56:05,139 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] custom-memory-heap-crash starting (image=ghcr.io/trajectoryrl/scenario-custom-memory-heap-crash:latest)
2026-08-28 17:56:05,966 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:56:24,359 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] audio-synth-stft-peaks hermes chat finished (exit=None, timed_out=True, 324978 chars)
2026-08-28 17:56:24,581 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:56:24,846 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] configure-git-webserver hermes chat finished (exit=None, timed_out=True, 375548 chars)
2026-08-28 17:56:25,080 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:56:26,252 | INFO     | trajectoryrl.utils.sandbox_harness | Started verifier verifier_e223261e996c_ep1 (id=6b5b0c437d80)
2026-08-28 17:56:26,658 | INFO     | trajectoryrl.utils.sandbox_harness | Started verifier verifier_e223261e996c_ep2 (id=04774e817827)
2026-08-28 17:56:39,342 | INFO     | trajectoryrl.utils.sandbox_harness | Verifier verifier_e223261e996c_ep2: reward=1 (exit_code=0)
2026-08-28 17:56:39,390 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] configure-git-webserver quality=1.000 (reward=1, 8/8 tests passed, cost=$0.0356)
2026-08-28 17:56:39,962 | INFO     | trajectoryrl.utils.sandbox_harness | Verifier verifier_e223261e996c_ep1: reward=0 (exit_code=0)
2026-08-28 17:56:40,102 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] audio-synth-stft-peaks quality=0.923 (reward=0, 12/13 tests passed, cost=$0.0363)
2026-08-28 17:56:44,939 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:56:44,960 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:56:45,327 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:56:45,328 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] db-wal-recovery starting (image=ghcr.io/trajectoryrl/scenario-db-wal-recovery:latest)
2026-08-28 17:56:45,681 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:56:45,786 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:56:46,154 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 17:56:46,155 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] deterministic-tarball starting (image=ghcr.io/trajectoryrl/scenario-deterministic-tarball:latest)
2026-08-28 17:56:46,177 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 17:56:47,046 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 18:04:05,371 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] deterministic-tarball hermes chat finished (exit=0, timed_out=False, 216643 chars)
2026-08-28 18:04:05,664 | INFO     | trajectoryrl.utils.sandbox_harness | Started verifier verifier_e223261e996c_ep6 (id=680bfc0f533d)
2026-08-28 18:04:05,798 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 18:04:16,889 | INFO     | trajectoryrl.utils.sandbox_harness | Verifier verifier_e223261e996c_ep6: reward=1 (exit_code=0)
2026-08-28 18:04:16,933 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] deterministic-tarball quality=1.000 (reward=1, 12/12 tests passed, cost=$0.0178)
2026-08-28 18:04:22,393 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 18:04:22,685 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 18:04:23,041 | INFO     | httpx | HTTP Request: GET https://trajrl.com/api/v2/epoch/current "HTTP/1.1 200 OK"
2026-08-28 18:04:23,042 | INFO     | trajectoryrl.utils.sandbox_harness | [e223261e996c] fix-code-vulnerability starting (image=ghcr.io/trajectoryrl/scenario-fix-code-vulnerability:latest)
2026-08-28 18:04:23,922 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/epoch/3555/scenario_progress "HTTP/1.1 200 OK"
2026-08-28 18:04:53,792 | INFO     | httpx | HTTP Request: POST https://trajrl.com/api/v2/validators/heartbeat "HTTP/1.1 200 OK"
2026-08-28 18:06:51,313 | WARNING  | trajectoryrl.base.validator | [winner=5EPWhPxV UID 124] set_weights attempt 1/3 FAILED — success=False, message=None, uids=[124]
2026-08-28 18:06:51,313 | INFO     | trajectoryrl.base.validator | [winner=5EPWhPxV UID 124] Retrying set_weights in 12s...
